Linha;Viagens Programadas;Tipo Linha;Tipo Dia;Tipo de Programação;Faixa
444;0;Serviço;Dia Útil;100% SMTR;15-18
460;76;Linha;Dia Útil;100% SMTR;15-18
463;41;Linha;Dia Útil;100% SMTR;15-18
472;2;Linha;Dia Útil;100% SMTR;15-18
538;19;Linha;Dia Útil;100% SMTR;15-18
553;5;Linha;Dia Útil;100% SMTR;15-18
955;0;Serviço;Dia Útil;100% SMTR;15-18
957;0;Serviço;Dia Útil;100% SMTR;15-18
222;5;Linha;Dia Útil;100% SMTR;15-18
585;3;Linha;Dia Útil;100% SMTR;15-18
SN309;0;Linha;Dia Útil;100% SMTR;15-18
SN538;0;Linha;Dia Útil;100% SMTR;15-18
SP309;0;Serviço;Dia Útil;100% SMTR;15-18
SP315;0;Serviço;Dia Útil;100% SMTR;15-18
SP553;0;Serviço;Dia Útil;100% SMTR;15-18
SV112;25;Linha;Dia Útil;100% SMTR;15-18
100;22;Linha;Dia Útil;100% SMTR;18-21
105;1;Linha;Dia Útil;100% SMTR;18-21
108;35;Linha;Dia Útil;100% SMTR;18-21
110;36;Linha;Dia Útil;100% SMTR;18-21
112;30;Linha;Dia Útil;100% SMTR;18-21
163;20;Linha;Dia Útil;100% SMTR;18-21
LECD110;4;Linha;Dia Útil;100% SMTR;18-21
181;0;Serviço;Dia Útil;100% SMTR;18-21
309;60;Linha;Dia Útil;100% SMTR;18-21
315;32;Linha;Dia Útil;100% SMTR;18-21
440;0;Serviço;Dia Útil;100% SMTR;18-21
443;0;Serviço;Dia Útil;100% SMTR;18-21
444;0;Serviço;Dia Útil;100% SMTR;18-21
460;72;Linha;Dia Útil;100% SMTR;18-21
463;33;Linha;Dia Útil;100% SMTR;18-21
472;2;Linha;Dia Útil;100% SMTR;18-21
538;18;Linha;Dia Útil;100% SMTR;18-21
553;4;Linha;Dia Útil;100% SMTR;18-21
955;0;Serviço;Dia Útil;100% SMTR;18-21
957;0;Serviço;Dia Útil;100% SMTR;18-21
222;4;Linha;Dia Útil;100% SMTR;18-21
585;3;Linha;Dia Útil;100% SMTR;18-21
SN309;3;Linha;Dia Útil;100% SMTR;18-21
SN538;0;Linha;Dia Útil;100% SMTR;18-21
SP309;0;Serviço;Dia Útil;100% SMTR;18-21
SP315;0;Serviço;Dia Útil;100% SMTR;18-21
SP553;0;Serviço;Dia Útil;100% SMTR;18-21
SV112;29;Linha;Dia Útil;100% SMTR;18-21
100;4;Linha;Dia Útil;100% SMTR;21-00
105;0;Linha;Dia Útil;100% SMTR;21-00
108;11;Linha;Dia Útil;100% SMTR;21-00
110;4;Linha;Dia Útil;100% SMTR;21-00
112;4;Linha;Dia Útil;100% SMTR;21-00
163;7;Linha;Dia Útil;100% SMTR;21-00
LECD110;1;Linha;Dia Útil;100% SMTR;21-00
181;0;Serviço;Dia Útil;100% SMTR;21-00
309;10;Linha;Dia Útil;100% SMTR;21-00
315;16;Linha;Dia Útil;100% SMTR;21-00
440;0;Serviço;Dia Útil;100% SMTR;21-00
443;0;Serviço;Dia Útil;100% SMTR;21-00
444;0;Serviço;Dia Útil;100% SMTR;21-00
460;10;Linha;Dia Útil;100% SMTR;21-00
463;0;Linha;Dia Útil;100% SMTR;21-00
472;2;Linha;Dia Útil;100% SMTR;21-00
538;7;Linha;Dia Útil;100% SMTR;21-00
553;3;Linha;Dia Útil;100% SMTR;21-00
955;0;Serviço;Dia Útil;100% SMTR;21-00
957;0;Serviço;Dia Útil;100% SMTR;21-00
222;1;Linha;Dia Útil;100% SMTR;21-00
585;2;Linha;Dia Útil;100% SMTR;21-00
SN309;21;Linha;Dia Útil;100% SMTR;21-00
SN538;5;Linha;Dia Útil;100% SMTR;21-00
SP309;0;Serviço;Dia Útil;100% SMTR;21-00
SP315;0;Serviço;Dia Útil;100% SMTR;21-00
SP553;0;Serviço;Dia Útil;100% SMTR;21-00
SV112;5;Linha;Dia Útil;100% SMTR;21-00
