Linha;Viagens Programadas;Tipo Linha;Tipo Dia;Tipo de Programação;Faixa
SP315;0;Serviço;Facultativo;100% SMTR;09-12
SP553;0;Serviço;Facultativo;100% SMTR;09-12
SV112;13;Linha;Facultativo;100% SMTR;09-12
100;21;Linha;Facultativo;100% SMTR;12-15
105;0;Linha;Facultativo;100% SMTR;12-15
108;20;Linha;Facultativo;100% SMTR;12-15
110;23;Linha;Facultativo;100% SMTR;12-15
112;20;Linha;Facultativo;100% SMTR;12-15
163;11;Linha;Facultativo;100% SMTR;12-15
LECD110;2;Linha;Facultativo;100% SMTR;12-15
181;0;Serviço;Facultativo;100% SMTR;12-15
309;30;Linha;Facultativo;100% SMTR;12-15
315;19;Linha;Facultativo;100% SMTR;12-15
440;0;Serviço;Facultativo;100% SMTR;12-15
443;0;Serviço;Facultativo;100% SMTR;12-15
444;0;Serviço;Facultativo;100% SMTR;12-15
460;20;Linha;Facultativo;100% SMTR;12-15
463;16;Linha;Facultativo;100% SMTR;12-15
472;2;Linha;Facultativo;100% SMTR;12-15
538;10;Linha;Facultativo;100% SMTR;12-15
553;4;Linha;Facultativo;100% SMTR;12-15
955;0;Serviço;Facultativo;100% SMTR;12-15
957;0;Serviço;Facultativo;100% SMTR;12-15
222;2;Linha;Facultativo;100% SMTR;12-15
585;2;Linha;Facultativo;100% SMTR;12-15
SN309;0;Linha;Facultativo;100% SMTR;12-15
SN538;0;Linha;Facultativo;100% SMTR;12-15
SP309;0;Serviço;Facultativo;100% SMTR;12-15
SP315;0;Serviço;Facultativo;100% SMTR;12-15
SP553;0;Serviço;Facultativo;100% SMTR;12-15
SV112;12;Linha;Facultativo;100% SMTR;12-15
100;21;Linha;Facultativo;100% SMTR;15-18
105;2;Linha;Facultativo;100% SMTR;15-18
108;23;Linha;Facultativo;100% SMTR;15-18
110;26;Linha;Facultativo;100% SMTR;15-18
112;26;Linha;Facultativo;100% SMTR;15-18
163;15;Linha;Facultativo;100% SMTR;15-18
LECD110;3;Linha;Facultativo;100% SMTR;15-18
181;0;Serviço;Facultativo;100% SMTR;15-18
309;40;Linha;Facultativo;100% SMTR;15-18
315;30;Linha;Facultativo;100% SMTR;15-18
440;0;Serviço;Facultativo;100% SMTR;15-18
443;0;Serviço;Facultativo;100% SMTR;15-18
